Item,Spec / Suggested Part,Qty,Notes,Price
"Logic-level MOSFET","IRLB8721 / IRLZ44N","6","4 needed + 2 spares (blow during tuning)","9$"
"Flyback diode","UF4007 / MUR460","6","One per coil, mandatory + spares","3$"
"IR photo-interrupter","Break-beam pair","6","4 needed + 2 spares, fragile","2$"
"NPN transistor","2N2222 / BC547","6","Only if standard (non-logic) FETs used, for gate drivers","1$"
"Resistor assortment","100Ω, 1kΩ, 10kΩ","1 pack","Gate / base / pulldown","1$"
"Magnet wire","Enameled copper ~0.5mm","1 spool","Enough for 4 coils + 1 rewind","7$"
"Steel ball bearing","Chrome steel, 12-16mm","4-6","Ferromagnetic only; extras for tuning + loss","2$"
"Clear tubing","PVC/vinyl, ID just above ball dia","1-2 m","Raceway + safety shroud + visible ball","3$"
"Coil formers","PETG, 3D printed on-site","4","No purchase - listed for completeness","5$"
"Power supply","12-24V >=10A bench PSU or 3S/4S LiPo + connector","1","Current-limiting bench PSU safer for tuning","12$"
"Perfboard / protoboard","-","2","Driver board + spare","2$"
"Hookup wire + connectors","Screw terminals / Dupont","1 set","-","4$"
"WS2812 LED strip","Short length","1","Demo polish, high payoff","3$"
"Round touch display","Waveshare 1.28in round","1","Stretch only - drop if grant is tight","6$"
"Microcontroller","stm32","1","Only if not using your own kit boards","3$"
"TOTAL","","","","63$ ( we will arrange 3 dollars on our own )"
